:START_ID,:END_ID,:TYPE
1,000001,董事长
1,000001,执行董事
2,000001,执行董事
3,000001,执行董事
4,000001,执行董事
5,000001,非执行董事
6,000001,非执行董事
7,000001,非执行董事
8,000001,非执行董事
9,000001,非执行董事
10,000001,独立董事
11,000001,独立董事
12,000001,独立董事
13,000001,独立董事
14,000001,独立董事
15,000002,董事会主席
15,000002,董事
16,000002,董事会副主席
16,000002,董事
17,000002,董事
18,000002,董事
19,000002,董事
20,000002,董事
21,000002,董事
22,000002,独立董事
23,000002,独立董事
24,000002,独立董事
25,000002,独立董事
26,000003,董事长
26,000003,董事
27,000003,董事
28,000003,董事
29,000003,董事
30,000003,董事
31,000003,董事
32,000003,独立董事
33,000003,独立董事
34,000003,独立董事
35,000004,董事长
35,000004,董事
36,000004,董事
37,000004,董事
38,000004,董事
39,000004,董事
40,000004,董事
41,000004,独立董事
42,000004,独立董事
43,000004,独立董事
44,000005,董事局主席
44,000005,董事
45,000005,董事局副主席
45,000005,董事
46,000005,董事
47,000005,董事
48,000005,董事
49,000005,董事
50,000005,董事
51,000005,董事
52,000005,独立董事
53,000005,独立董事
54,000005,独立董事
55,000005,独立董事
56,000005,独立董事
57,000005,职工董事
58,000006,董事长
58,000006,董事
59,000006,董事
60,000006,董事
61,000006,董事
62,000006,独立董事
63,000006,独立董事
64,000006,独立董事
65,000007,董事长
65,000007,董事
66,000007,董事
67,000007,董事
68,000007,董事
69,000007,独立董事
70,000007,独立董事
71,000007,独立董事
72,000008,董事长
72,000008,董事
73,000008,董事
74,000008,董事
75,000008,董事
76,000008,独立董事
77,000008,独立董事
78,000008,独立董事
79,000009,董事局主席
79,000009,执行董事
80,000009,董事局常务副主席
80,000009,执行董事
81,000009,执行董事
82,000009,董事
83,000009,独立董事
84,000009,独立董事
85,000009,独立董事
86,000009,职工董事
87,000009,职工董事
88,000010,董事长
88,000010,董事
89,000010,董事
90,000010,董事
91,000010,董事
92,000010,董事
93,000010,董事
94,000010,独立董事
95,000010,独立董事
96,000010,独立董事
97,000010,独立董事
98,000011,董事长
98,000011,董事
99,000011,董事
100,000011,董事
101,000011,董事
102,000011,董事
103,000011,董事
104,000011,独立董事
105,000011,独立董事
106,000011,独立董事
107,000012,董事长
107,000012,董事
108,000012,副董事长
108,000012,董事
109,000012,董事
110,000012,董事
111,000012,董事
112,000012,董事
113,000012,独立董事
114,000012,独立董事
115,000012,独立董事
116,000013,董事长
116,000013,董事
117,000013,董事
118,000013,董事
119,000013,董事
120,000013,董事
121,000014,董事长
121,000014,董事
122,000014,董事
123,000014,董事
124,000014,董事
125,000014,董事
126,000014,董事
127,000014,独立董事
128,000014,独立董事
129,000014,独立董事
130,000015,董事长
130,000015,董事
131,000015,副董事长
131,000015,董事
132,000015,董事
133,000015,董事
134,000015,董事
135,000015,董事
136,000015,独立董事
137,000015,独立董事
138,000015,独立董事
139,000016,董事局主席
139,000016,董事
113,000016,董事
140,000016,董事
141,000016,董事
142,000016,独立董事
143,000016,独立董事
21,000016,独立董事
144,000018,董事长
144,000018,董事
145,000018,副董事长
145,000018,董事
146,000018,副董事长
146,000018,董事
147,000018,董事
148,000018,董事
149,000018,董事
150,000018,独立董事
151,000018,独立董事
152,000018,独立董事
153,000019,董事长
153,000019,董事
154,000019,董事
155,000019,董事
156,000019,董事
157,000019,董事
158,000019,董事
159,000019,独立董事
160,000019,独立董事
161,000019,独立董事
162,000020,董事长
162,000020,董事
163,000020,副董事长
163,000020,董事
164,000020,董事
165,000020,独立董事
166,000020,独立董事
167,000020,独立董事
168,000021,董事长
168,000021,董事
169,000021,副董事长
169,000021,董事
170,000021,董事
171,000021,董事
172,000021,董事
173,000021,董事
174,000021,独立董事
175,000021,独立董事
176,000021,独立董事
177,000022,董事长
177,000022,董事
178,000022,副董事长
178,000022,董事
179,000022,董事
180,000022,董事
181,000022,董事
182,000022,董事
183,000022,独立董事
184,000022,独立董事
185,000022,独立董事
186,000023,董事长
186,000023,董事
187,000023,董事
188,000023,董事
189,000023,董事
190,000023,独立董事
191,000023,独立董事
192,000023,独立董事
193,000023,职工董事
194,000024,董事长
194,000024,董事
195,000024,副董事长
195,000024,董事
196,000024,副董事长
196,000024,董事
197,000024,董事
198,000024,董事
199,000024,董事
200,000024,独立董事
201,000024,独立董事
202,000024,独立董事
203,000024,独立董事
204,000024,独立董事
205,000024,独立董事
206,000024,独立董事
207,000025,董事长
207,000025,董事
208,000025,董事
209,000025,董事
210,000025,董事
211,000025,董事
212,000025,董事
213,000025,独立董事
214,000025,独立董事
215,000025,独立董事
216,000026,董事长
216,000026,董事
217,000026,董事
218,000026,董事
219,000026,董事
220,000026,董事
221,000026,董事
222,000026,独立董事
223,000026,独立董事
224,000026,独立董事
225,000027,董事长
225,000027,董事
226,000027,副董事长
226,000027,董事
227,000027,董事
228,000027,董事
229,000027,董事
230,000027,董事
231,000027,独立董事
232,000027,独立董事
233,000027,独立董事
234,000028,董事长
234,000028,董事
235,000028,董事
236,000028,董事
237,000028,董事
238,000028,董事
239,000028,董事
240,000028,独立董事
241,000028,独立董事
242,000028,独立董事
243,000029,董事长
243,000029,董事
244,000029,董事
245,000029,董事
246,000029,董事
247,000029,董事
248,000029,董事
249,000029,独立董事
224,000029,独立董事
250,000029,独立董事
251,000030,董事长
251,000030,董事
252,000030,副董事长
252,000030,董事
253,000030,董事
254,000030,董事
255,000030,董事
256,000030,独立董事
257,000030,独立董事
258,000030,独立董事
259,000031,董事长
259,000031,董事
260,000031,董事
261,000031,董事
262,000031,董事
263,000031,董事
264,000031,董事
265,000031,独立董事
266,000031,独立董事
267,000031,独立董事
268,000032,名誉董事长
269,000032,董事长
269,000032,董事
270,000032,副董事长
270,000032,董事
271,000032,副董事长
271,000032,董事
272,000032,董事
273,000032,董事
274,000032,董事
275,000032,独立董事
276,000032,独立董事
277,000032,独立董事
278,000033,董事长
278,000033,董事
279,000033,副董事长
279,000033,董事
280,000033,董事
281,000033,董事
